ZipCode,StateCode,PrimaryCity,County
00601,PR,ADJUNTAS,SOUTHERN
00602,PR,AGUADA,SOUTHERN
00603,PR,AGUADILLA,SOUTHERN
00603,PR,AGUADILLA,SOUTHERN
00603,PR,AGUADILLA,SOUTHERN
00603,PR,AGUADILLA,SOUTHERN
00606,PR,MARICAO,SOUTHERN
00610,PR,ANASCO,SOUTHERN
00611,PR,ANGELES,SOUTHERN
00612,PR,ARECIBO,SOUTHERN
00612,PR,ARECIBO,SOUTHERN
00612,PR,ARECIBO,SOUTHERN
00612,PR,ARECIBO,SOUTHERN
00616,PR,BAJADERO,SOUTHERN
00617,PR,BARCELONETA,SOUTHERN
00622,PR,BOQUERON,SOUTHERN
00623,PR,CABO ROJO,SOUTHERN
00624,PR,PENUELAS,SOUTHERN
00627,PR,CAMUY,SOUTHERN
00631,PR,CASTANER,SOUTHERN
00637,PR,SABANA GRANDE,SOUTHERN
00638,PR,CIALES,SOUTHERN
00641,PR,UTUADO,SOUTHERN
00646,PR,DORADO,SOUTHERN
00647,PR,ENSENADA,SOUTHERN
00650,PR,FLORIDA,SOUTHERN
00652,PR,GARROCHALES,SOUTHERN
00653,PR,GUANICA,SOUTHERN
00656,PR,GUAYANILLA,SOUTHERN
00659,PR,HATILLO,SOUTHERN
00660,PR,HORMIGUEROS,SOUTHERN
00662,PR,ISABELA,SOUTHERN
00664,PR,JAYUYA,SOUTHERN
00667,PR,LAJAS,SOUTHERN
00669,PR,LARES,SOUTHERN
00670,PR,LAS MARIAS,SOUTHERN
00674,PR,MANATI,SOUTHERN
00676,PR,MOCA,SOUTHERN
00676,PR,MOCA,SOUTHERN
00677,PR,RINCON,SOUTHERN
00678,PR,QUEBRADILLAS,SOUTHERN
00682,PR,MAYAGUEZ,SOUTHERN
00680,PR,MAYAGUEZ,SOUTHERN
00682,PR,MAYAGUEZ,SOUTHERN
00680,PR,MAYAGUEZ,SOUTHERN
00682,PR,MAYAGUEZ,SOUTHERN
00683,PR,SAN GERMAN,SOUTHERN
00685,PR,SAN SEBASTIAN,SOUTHERN
00685,PR,SAN SEBASTIAN,SOUTHERN
00685,PR,SAN SEBASTIAN,SOUTHERN
00687,PR,MOROVIS,SOUTHERN
00688,PR,SABANA HOYOS,SOUTHERN
00690,PR,SAN ANTONIO,SOUTHERN
00692,PR,VEGA ALTA,SOUTHERN
00692,PR,VEGA ALTA,SOUTHERN
00693,PR,VEGA BAJA,SOUTHERN
00693,PR,VEGA BAJA,SOUTHERN
00698,PR,YAUCO,SOUTHERN
00703,PR,AGUAS BUENAS,SOUTHERN
00704,PR,AGUIRRE,SOUTHERN
00705,PR,AIBONITO,SOUTHERN
00707,PR,MAUNABO,SOUTHERN
00714,PR,ARROYO,SOUTHERN
00715,PR,MERCEDITA,SOUTHERN
00717,PR,PONCE,SOUTHERN
00717,PR,PONCE,SOUTHERN
00718,PR,NAGUABO,SOUTHERN
00719,PR,NARANJITO,SOUTHERN
00720,PR,OROCOVIS,SOUTHERN
00721,PR,PALMER,SOUTHERN
00723,PR,PATILLAS,SOUTHERN
00725,PR,CAGUAS,SOUTHERN
00725,PR,CAGUAS,SOUTHERN
00725,PR,CAGUAS,SOUTHERN
00725,PR,CAGUAS,SOUTHERN
00725,PR,CAGUAS,SOUTHERN
00725,PR,CAGUAS,SOUTHERN
00717,PR,PONCE,SOUTHERN
00729,PR,CANOVANAS,SOUTHERN
00717,PR,PONCE,SOUTHERN
00717,PR,PONCE,SOUTHERN
00717,PR,PONCE,SOUTHERN
00717,PR,PONCE,SOUTHERN
00730,PR,PONCE,SOUTHERN
